family,space,layer,condition,kind,pos_bucket,mean,lo,hi,n_prompts
base,suca,8,shuffled,raw_user,80,0.8252229690551758,0.8252229690551758,0.8252229690551758,1
base,suca,8,shuffled,raw_user,90,0.726094126701355,0.726094126701355,0.726094126701355,1
base,suca,8,shuffled,raw_assistant,0,0.0003075371205341071,0.0001265821629203856,0.0004884920781478286,2
base,suca,8,shuffled,raw_assistant,10,0.0034811177756637335,0.0020015896297991276,0.004960645921528339,2
base,suca,8,shuffled,raw_assistant,20,0.0036190769751556218,0.0017616875702515244,0.005476466380059719,2
base,suca,8,shuffled,raw_assistant,30,0.04283415590180084,0.001007871120236814,0.08466044068336487,2
base,suca,8,shuffled,raw_assistant,40,0.030197329819202423,0.0011849552392959595,0.05920970439910889,2
base,suca,8,shuffled,raw_assistant,50,0.01583545794710517,0.006018764339387417,0.025652151554822922,2
base,suca,8,shuffled,raw_assistant,60,0.016249549807980657,0.0032168575562536716,0.02928224205970764,2
base,suca,8,shuffled,raw_assistant,70,0.0020703058689832687,0.0020703058689832687,0.0020703058689832687,1
base,suca,8,shuffled,raw_assistant,80,0.0448271743953228,0.0448271743953228,0.0448271743953228,1
base,suca,8,shuffled,raw_assistant,90,0.013041658326983452,0.013041658326983452,0.013041658326983452,1
base,suca,8,shuffled,minus_null,0,0.004245336283929646,0.002652161056175828,0.005838511511683464,2
base,suca,8,shuffled,minus_null,10,0.019780551083385944,0.0158510934561491,0.023710008710622787,2
base,suca,8,shuffled,minus_null,20,0.0719572501257062,0.02116977609694004,0.12274472415447235,2
base,suca,8,shuffled,minus_null,30,0.2053024535998702,0.015802724286913872,0.39480218291282654,2
base,suca,8,shuffled,minus_null,40,0.34557443484663963,0.032489530742168427,0.6586593389511108,2
base,suca,8,shuffled,minus_null,50,0.1674281619489193,0.03788410872220993,0.29697221517562866,2
base,suca,8,shuffled,minus_null,60,0.09646327048540115,0.06265324354171753,0.13027329742908478,2
base,suca,8,shuffled,minus_null,70,0.08721102774143219,0.08721102774143219,0.08721102774143219,1
base,suca,8,shuffled,minus_null,80,0.12695470452308655,0.12695470452308655,0.12695470452308655,1
base,suca,8,shuffled,minus_null,90,0.2575322091579437,0.2575322091579437,0.2575322091579437,1
base,suca,8,reversed,raw,0,0.0295143760740757,0.017253942787647247,0.04177480936050415,2
base,suca,8,reversed,raw,10,0.11084197089076042,0.04387306421995163,0.1778108775615692,2
base,suca,8,reversed,raw,20,0.4265212193131447,0.0654183179140091,0.7876241207122803,2
base,suca,8,reversed,raw,30,0.22911879420280457,0.04488566517829895,0.4133519232273102,2
base,suca,8,reversed,raw,40,0.299404788762331,0.07538900524377823,0.5234205722808838,2
base,suca,8,reversed,raw,50,0.5007070153951645,0.052316874265670776,0.9490971565246582,2
base,suca,8,reversed,raw,60,0.41461045295000076,0.08836396038532257,0.740856945514679,2
base,suca,8,reversed,raw,70,0.1280135065317154,0.1280135065317154,0.1280135065317154,1
base,suca,8,reversed,raw,80,0.6209684610366821,0.6209684610366821,0.6209684610366821,1
base,suca,8,reversed,raw,90,0.8046943545341492,0.8046943545341492,0.8046943545341492,1
base,suca,8,reversed,raw_system,0,0.01971868285909295,0.013720733113586903,0.025716632604599,2
base,suca,8,reversed,raw_system,10,0.10447898879647255,0.06851688772439957,0.14044108986854553,2
base,suca,8,reversed,raw_system,20,0.009572454961016774,0.00411758990958333,0.015027320012450218,2
base,suca,8,reversed,raw_system,30,0.001530512934550643,0.0011384082026779652,0.0019226176664233208,2
base,suca,8,reversed,raw_system,40,0.00166052341228351,0.0005310050910338759,0.002790041733533144,2
base,suca,8,reversed,raw_system,50,0.0009051468314282829,4.089846697752364e-05,0.0017693951958790421,2
base,suca,8,reversed,raw_system,60,0.0013680041884072125,0.0010519861243665218,0.0016840222524479032,2
base,suca,8,reversed,raw_system,70,0.00028264537104405463,0.00028264537104405463,0.00028264537104405463,1
base,suca,8,reversed,raw_system,80,3.485377237666398e-05,3.485377237666398e-05,3.485377237666398e-05,1
base,suca,8,reversed,raw_system,90,1.8764303604257293e-05,1.8764303604257293e-05,1.8764303604257293e-05,1
base,suca,8,reversed,raw_user,0,0.9351493716239929,0.9039985537528992,0.9663001894950867,2
base,suca,8,reversed,raw_user,10,0.557555541396141,0.38194307684898376,0.7331680059432983,2
base,suca,8,reversed,raw_user,20,0.5032648518681526,0.1114506870508194,0.8950790166854858,2
base,suca,8,reversed,raw_user,30,0.4720180337317288,0.0055409083142876625,0.9384951591491699,2
base,suca,8,reversed,raw_user,40,0.4602809092029929,0.005507199093699455,0.9150546193122864,2
base,suca,8,reversed,raw_user,50,0.4706482953042723,0.000150395673699677,0.941146194934845,2
base,suca,8,reversed,raw_user,60,0.48348298855125904,0.059877995401620865,0.9070879817008972,2
base,suca,8,reversed,raw_user,70,0.8716440200805664,0.8716440200805664,0.8716440200805664,1
base,suca,8,reversed,raw_user,80,0.3758547306060791,0.3758547306060791,0.3758547306060791,1
base,suca,8,reversed,raw_user,90,0.16277819871902466,0.16277819871902466,0.16277819871902466,1
base,suca,8,reversed,raw_assistant,0,0.015617531025782228,0.0027250931598246098,0.028509968891739845,2
base,suca,8,reversed,raw_assistant,10,0.22712351009249687,0.08251785486936569,0.37172916531562805,2
base,suca,8,reversed,raw_assistant,20,0.06064148060977459,0.024475369602441788,0.09680759161710739,2
base,suca,8,reversed,raw_assistant,30,0.2973326938226819,0.014696577563881874,0.5799688100814819,2
base,suca,8,reversed,raw_assistant,40,0.23865379160270095,0.006766344420611858,0.47054123878479004,2
base,suca,8,reversed,raw_assistant,50,0.027739577693864703,0.00476755341514945,0.050711601972579956,2
base,suca,8,reversed,raw_assistant,60,0.10053856833837926,0.0034960987977683544,0.19758103787899017,2
base,suca,8,reversed,raw_assistant,70,5.979575144010596e-05,5.979575144010596e-05,5.979575144010596e-05,1
base,suca,8,reversed,raw_assistant,80,0.003141880501061678,0.003141880501061678,0.003141880501061678,1
base,suca,8,reversed,raw_assistant,90,0.03250868618488312,0.03250868618488312,0.03250868618488312,1
base,suca,8,reversed,minus_null,0,0.02892102301120758,0.01666663959622383,0.04117540642619133,2
base,suca,8,reversed,minus_null,10,0.10474349744617939,0.04221190884709358,0.1672750860452652,2
base,suca,8,reversed,minus_null,20,0.40467314794659615,0.06431857496500015,0.7450277209281921,2
base,suca,8,reversed,minus_null,30,0.19938896968960762,0.04392573982477188,0.35485219955444336,2
base,suca,8,reversed,minus_null,40,0.2954358458518982,0.07529163360595703,0.5155800580978394,2
base,suca,8,reversed,minus_null,50,0.4875780940055847,0.05189824104309082,0.9232579469680786,2
base,suca,8,reversed,minus_null,60,0.41054054722189903,0.08803581446409225,0.7330452799797058,2
base,suca,8,reversed,minus_null,70,0.1279091238975525,0.1279091238975525,0.1279091238975525,1
base,suca,8,reversed,minus_null,80,0.6207659840583801,0.6207659840583801,0.6207659840583801,1
base,suca,8,reversed,minus_null,90,0.8041387796401978,0.8041387796401978,0.8041387796401978,1
base,suca,8,neutral,raw,0,0.0005933526554144919,0.0005873023183085024,0.0005994029925204813,2
base,suca,8,neutral,raw,10,0.006098469137214124,0.0016611560713499784,0.01053578220307827,2
base,suca,8,neutral,raw,20,0.02184807724552229,0.0010997472563758492,0.04259640723466873,2
base,suca,8,neutral,raw,30,0.029729809670243412,0.0009599254699423909,0.058499693870544434,2
base,suca,8,neutral,raw,40,0.00396895134326769,9.736801439430565e-05,0.007840534672141075,2
base,suca,8,neutral,raw,50,0.013128923485055566,0.00041863182559609413,0.025839215144515038,2
base,suca,8,neutral,raw,60,0.0040698938828427345,0.0003281422541476786,0.00781164551153779,2
base,suca,8,neutral,raw,70,0.00010437534365337342,0.00010437534365337342,0.00010437534365337342,1
base,suca,8,neutral,raw,80,0.00020254745322745293,0.00020254745322745293,0.00020254745322745293,1
base,suca,8,neutral,raw,90,0.0005555801326408982,0.0005555801326408982,0.0005555801326408982,1
base,suca,8,neutral,raw_system,0,0.009755752515047789,0.0044932374730706215,0.015018267557024956,2
base,suca,8,neutral,raw_system,10,0.022942994721233845,0.017901618033647537,0.027984371408820152,2
base,suca,8,neutral,raw_system,20,0.03495805594138801,0.003831548150628805,0.06608456373214722,2
base,suca,8,neutral,raw_system,30,0.034727890975773335,0.008248290047049522,0.06120749190449715,2
base,suca,8,neutral,raw_system,40,0.008755617775022984,0.001659369096159935,0.015851866453886032,2
base,suca,8,neutral,raw_system,50,0.0070128971710801125,0.005533276125788689,0.008492518216371536,2
base,suca,8,neutral,raw_system,60,0.0032444391981698573,0.0011411254527047276,0.005347752943634987,2
base,suca,8,neutral,raw_system,70,0.004414406605064869,0.004414406605064869,0.004414406605064869,1
base,suca,8,neutral,raw_system,80,0.004368967842310667,0.004368967842310667,0.004368967842310667,1
base,suca,8,neutral,raw_system,90,0.025677043944597244,0.025677043944597244,0.025677043944597244,1
base,suca,8,neutral,raw_user,0,0.9896387159824371,0.9843740463256836,0.9949033856391907,2
base,suca,8,neutral,raw_user,10,0.9678998589515686,0.9655858278274536,0.9702138900756836,2
base,suca,8,neutral,raw_user,20,0.9412716329097748,0.88750821352005,0.9950350522994995,2
base,suca,8,neutral,raw_user,30,0.9340421855449677,0.8776987195014954,0.9903856515884399,2
base,suca,8,neutral,raw_user,40,0.986785888671875,0.9753606915473938,0.9982110857963562,2
base,suca,8,neutral,raw_user,50,0.9796128869056702,0.965339183807373,0.9938865900039673,2
base,suca,8,neutral,raw_user,60,0.9925313889980316,0.9909971356391907,0.9940656423568726,2
base,suca,8,neutral,raw_user,70,0.9954130053520203,0.9954130053520203,0.9954130053520203,1
base,suca,8,neutral,raw_user,80,0.9952458143234253,0.9952458143234253,0.9952458143234253,1
base,suca,8,neutral,raw_user,90,0.9728373289108276,0.9728373289108276,0.9728373289108276,1
base,suca,8,neutral,raw_assistant,0,1.2174249150120886e-05,4.006015842605848e-06,2.0342482457635924e-05,2
base,suca,8,neutral,raw_assistant,10,0.003058706242882181,0.00014057256339583546,0.0059768399223685265,2
base,suca,8,neutral,raw_assistant,20,0.0019222225510020507,3.358861067681573e-05,0.0038108564913272858,2
base,suca,8,neutral,raw_assistant,30,0.0015001346328062937,0.0004061540530528873,0.0025941152125597,2
base,suca,8,neutral,raw_assistant,40,0.0004895440415566554,3.215374817955308e-05,0.0009469343349337578,2
base,suca,8,neutral,raw_assistant,50,0.0002453263950883411,0.00016157531354110688,0.0003290774766355753,2
base,suca,8,neutral,raw_assistant,60,0.00015427014841407072,5.007357322028838e-05,0.00025846672360785306,2
base,suca,8,neutral,raw_assistant,70,6.82434911141172e-05,6.82434911141172e-05,6.82434911141172e-05,1
base,suca,8,neutral,raw_assistant,80,0.00018262708908878267,0.00018262708908878267,0.00018262708908878267,1
base,suca,8,neutral,raw_assistant,90,0.0009299969533458352,0.0009299969533458352,0.0009299969533458352,1
base,suca,8,shifted,raw,-100,0.0009947202415787615,0.00014501316763926297,0.00184442731551826,2
base,suca,8,shifted,raw,-90,0.0023404398234561086,0.00037134974263608456,0.004309529904276133,2
base,suca,8,shifted,raw,-80,0.005534576383070089,0.00038307931390590966,0.010686073452234268,2
