activation_site,layer,metric,held_out,value
pre_mlp,17,split_half_question_cosine,q0_vs_q5,0.4074246204986987
pre_mlp,18,leave_one_persona_out_cosine,anarchist,0.9870474577877932
pre_mlp,18,leave_one_persona_out_cosine,comedian,0.9846645982382894
pre_mlp,18,leave_one_persona_out_cosine,consultant,0.9900956140551357
pre_mlp,18,leave_one_persona_out_cosine,devils_advocate,0.9931582756313314
pre_mlp,18,leave_one_persona_out_cosine,engineer,0.9932428768919458
pre_mlp,18,leave_one_persona_out_cosine,genie,0.9930052638730728
pre_mlp,18,leave_one_persona_out_cosine,librarian,0.9930016800667818
pre_mlp,18,leave_one_persona_out_cosine,mystic,0.9889498612076018
pre_mlp,18,leave_one_persona_out_cosine,pirate,0.9924626513196394
pre_mlp,18,leave_one_persona_out_cosine,tutor,0.997422750011634
pre_mlp,18,split_half_question_cosine,q0_vs_q5,0.4308805655804294
pre_mlp,19,leave_one_persona_out_cosine,anarchist,0.9860489446117698
pre_mlp,19,leave_one_persona_out_cosine,comedian,0.9830732451897577
pre_mlp,19,leave_one_persona_out_cosine,consultant,0.9896078607560056
pre_mlp,19,leave_one_persona_out_cosine,devils_advocate,0.9930692031870263
pre_mlp,19,leave_one_persona_out_cosine,engineer,0.9926504166702725
pre_mlp,19,leave_one_persona_out_cosine,genie,0.9923526512793265
pre_mlp,19,leave_one_persona_out_cosine,librarian,0.9921460645975398
pre_mlp,19,leave_one_persona_out_cosine,mystic,0.9871423067066019
pre_mlp,19,leave_one_persona_out_cosine,pirate,0.9894913922938152
pre_mlp,19,leave_one_persona_out_cosine,tutor,0.9972671879118082
pre_mlp,19,split_half_question_cosine,q0_vs_q5,0.41567936298535585
pre_mlp,20,leave_one_persona_out_cosine,anarchist,0.9860650442239662
pre_mlp,20,leave_one_persona_out_cosine,comedian,0.9829472952446141
pre_mlp,20,leave_one_persona_out_cosine,consultant,0.9897862523679377
pre_mlp,20,leave_one_persona_out_cosine,devils_advocate,0.9932922258881757
pre_mlp,20,leave_one_persona_out_cosine,engineer,0.9927470342308129
pre_mlp,20,leave_one_persona_out_cosine,genie,0.9921669330273944
pre_mlp,20,leave_one_persona_out_cosine,librarian,0.9922964643137958
pre_mlp,20,leave_one_persona_out_cosine,mystic,0.985450591841554
pre_mlp,20,leave_one_persona_out_cosine,pirate,0.9892008056087744
pre_mlp,20,leave_one_persona_out_cosine,tutor,0.9973514800281607
pre_mlp,20,split_half_question_cosine,q0_vs_q5,0.41100292619485257
block_output,8,leave_one_persona_out_cosine,anarchist,0.9900954230605171
block_output,8,leave_one_persona_out_cosine,comedian,0.989528228948648
block_output,8,leave_one_persona_out_cosine,consultant,0.9915831809403991
block_output,8,leave_one_persona_out_cosine,devils_advocate,0.9917607596543162
block_output,8,leave_one_persona_out_cosine,engineer,0.9929105803065933
block_output,8,leave_one_persona_out_cosine,genie,0.995098552605186
block_output,8,leave_one_persona_out_cosine,librarian,0.9931894792181231
block_output,8,leave_one_persona_out_cosine,mystic,0.992342947515331
block_output,8,leave_one_persona_out_cosine,pirate,0.9964095845387221
block_output,8,leave_one_persona_out_cosine,tutor,0.9976070344491543
block_output,8,split_half_question_cosine,q0_vs_q5,0.38424418045157016
block_output,9,leave_one_persona_out_cosine,anarchist,0.9875453967559017
block_output,9,leave_one_persona_out_cosine,comedian,0.9887938395966557
block_output,9,leave_one_persona_out_cosine,consultant,0.9898902579023323
block_output,9,leave_one_persona_out_cosine,devils_advocate,0.9919698191683826
block_output,9,leave_one_persona_out_cosine,engineer,0.9910157246838576
block_output,9,leave_one_persona_out_cosine,genie,0.9947249984351092
block_output,9,leave_one_persona_out_cosine,librarian,0.992154241928948
block_output,9,leave_one_persona_out_cosine,mystic,0.9907181868070892
block_output,9,leave_one_persona_out_cosine,pirate,0.9955287801734393
block_output,9,leave_one_persona_out_cosine,tutor,0.9973464762434973
block_output,9,split_half_question_cosine,q0_vs_q5,0.32408915938479155
