layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,all,raw,198,0.77360785,0.77360785,0.7736079,1,neutral
8,none,all,raw,199,0.37977275,0.37977275,0.37977275,1,neutral
8,none,all,raw,200,0.44862384,0.4486238,0.44862384,1,neutral
8,none,all,raw,201,0.7551016,0.7551016,0.7551016,1,neutral
8,none,all,raw,202,0.74837255,0.74837255,0.74837255,1,neutral
8,none,all,raw,203,0.48598632,0.48598632,0.48598632,1,neutral
8,none,all,raw,204,0.6594847,0.6594847,0.6594847,1,neutral
8,none,all,raw,205,0.7638924,0.7638924,0.7638924,1,neutral
8,none,all,raw,206,0.6259421,0.6259421,0.6259421,1,neutral
8,none,all,raw,207,0.814009,0.814009,0.814009,1,neutral
8,none,all,raw,208,0.8576411,0.85764104,0.8576411,1,neutral
8,none,all,raw,209,0.80510587,0.80510587,0.80510587,1,neutral
8,none,all,raw,210,0.7328932,0.7328932,0.7328932,1,neutral
8,none,all,raw,211,0.6866018,0.6866018,0.6866018,1,neutral
8,none,all,raw,212,0.6886467,0.6886466,0.6886467,1,neutral
8,none,all,raw,213,0.83969814,0.83969814,0.83969814,1,neutral
8,none,all,raw,214,0.7256544,0.7256544,0.7256544,1,neutral
8,none,all,raw,215,0.75733,0.75733,0.75733,1,neutral
8,none,all,raw,216,0.7757474,0.7757474,0.7757475,1,neutral
8,none,all,raw,217,0.8296845,0.8296845,0.8296845,1,neutral
8,none,all,raw,218,0.8371609,0.8371609,0.8371609,1,neutral
8,none,all,raw,219,0.797584,0.797584,0.797584,1,neutral
8,none,all,raw,220,0.88124806,0.88124806,0.88124806,1,neutral
8,none,all,raw,221,0.7469354,0.7469354,0.7469354,1,neutral
8,none,all,raw,222,0.7802788,0.7802788,0.78027886,1,neutral
8,none,all,raw,223,0.5505925,0.5505925,0.5505925,1,neutral
8,none,all,raw,224,0.59987706,0.59987706,0.59987706,1,neutral
8,none,all,raw,225,0.8637987,0.8637987,0.8637987,1,neutral
8,none,all,raw,226,0.91866255,0.91866255,0.91866255,1,neutral
8,none,all,raw,227,0.88990766,0.88990766,0.88990766,1,neutral
8,none,all,raw,228,0.7620593,0.7620593,0.7620593,1,neutral
8,none,all,raw,229,0.9696333,0.9696333,0.9696333,1,neutral
8,none,all,raw,230,0.6977174,0.6977174,0.6977174,1,neutral
8,none,all,raw,231,0.9716428,0.9716428,0.9716428,1,neutral
8,none,all,raw,232,0.8463625,0.8463624,0.8463625,1,neutral
8,none,all,raw,233,0.5470622,0.5470622,0.5470622,1,neutral
8,none,all,raw,234,0.8667589,0.8667589,0.8667589,1,neutral
8,none,all,raw,235,0.66330814,0.66330814,0.66330814,1,neutral
8,none,all,raw,236,0.83414,0.83414,0.83414,1,neutral
8,none,all,raw,237,0.9054591,0.9054591,0.9054591,1,neutral
8,none,all,raw,238,0.61839324,0.61839324,0.61839324,1,neutral
8,none,all,raw,239,0.8085425,0.8085425,0.8085425,1,neutral
8,none,all,raw,240,0.84375143,0.84375143,0.84375143,1,neutral
8,none,all,raw,241,0.8340257,0.8340257,0.8340257,1,neutral
8,none,all,raw,242,0.52224356,0.52224356,0.52224356,1,neutral
8,none,all,raw,243,0.64589673,0.64589673,0.64589673,1,neutral
8,none,all,raw,244,0.81976616,0.81976616,0.8197662,1,neutral
8,none,all,raw,245,0.8244277,0.8244277,0.8244278,1,neutral
8,none,all,raw,246,0.8182701,0.81827,0.8182701,1,neutral
8,none,all,raw,247,0.6878264,0.6878264,0.6878264,1,neutral
8,none,all,raw,248,0.8334367,0.8334367,0.8334367,1,neutral
8,none,all,raw,249,0.6557794,0.6557794,0.6557794,1,neutral
8,none,content,raw,0,,,,0,neutral
8,none,content,raw,1,0.68066806,0.22345966,0.9345639,3,neutral
8,none,content,raw,2,0.67146033,0.13271149,0.9866374,3,neutral
8,none,content,raw,3,0.47776937,0.1467616,0.9029971,3,neutral
8,none,content,raw,4,0.50528365,0.261955,0.8296969,3,neutral
8,none,content,raw,5,0.49700347,0.21975128,0.94459635,3,neutral
8,none,content,raw,6,0.58313495,0.41204762,0.88937837,3,neutral
8,none,content,raw,7,0.539179,0.31850162,0.92029315,3,neutral
8,none,content,raw,8,0.5766676,0.14799216,0.81672436,3,neutral
8,none,content,raw,9,0.43916973,0.20283659,0.8077051,3,neutral
8,none,content,raw,10,0.40293577,0.11115127,0.93091506,3,neutral
8,none,content,raw,11,0.450915,0.25581014,0.82840174,3,neutral
8,none,content,raw,12,0.60696715,0.3650711,0.96489924,3,neutral
8,none,content,raw,13,0.47176477,0.1936927,0.9474663,3,neutral
8,none,content,raw,14,0.4059652,0.028232297,0.96797013,3,neutral
8,none,content,raw,15,0.60063374,0.20703776,0.9710715,3,neutral
8,none,content,raw,16,0.45317426,0.11684208,0.93729717,3,neutral
8,none,content,raw,17,0.7680354,0.56330436,0.97392625,3,neutral
8,none,content,raw,18,0.75424343,0.5378769,0.9842828,3,neutral
8,none,content,raw,19,0.9399619,0.9276528,0.9502961,3,neutral
8,none,content,raw,20,0.89350843,0.7316788,0.97626334,3,neutral
8,none,content,raw,21,0.88064927,0.698823,0.97703177,3,neutral
8,none,content,raw,22,0.9261368,0.8867531,0.97096515,3,neutral
8,none,content,raw,23,0.94928473,0.92781925,0.97911674,3,neutral
8,none,content,raw,24,0.9588483,0.9490126,0.9728839,3,neutral
8,none,content,raw,25,0.8908772,0.83948296,0.91836935,3,neutral
8,none,content,raw,26,0.9667986,0.95641536,0.9729317,3,neutral
8,none,content,raw,27,0.9243734,0.9083045,0.94490176,3,neutral
8,none,content,raw,28,0.96530795,0.9584046,0.975244,3,neutral
8,none,content,raw,29,0.8724186,0.70951843,0.98245114,3,neutral
8,none,content,raw,30,0.94381,0.8976054,0.99565625,3,neutral
8,none,content,raw,31,0.94640654,0.9319728,0.96819514,3,neutral
8,none,content,raw,32,0.92562515,0.8893736,0.9938924,3,neutral
