activation_site,layer,metric,held_out,value
pre_mlp,11,pairwise_question_cosine,q119_vs_q190,0.27249914171987694
pre_mlp,11,leave_one_question_out_cosine,q0,0.9572262134589953
pre_mlp,11,leave_one_question_out_cosine,q2,0.9749313820645968
pre_mlp,11,leave_one_question_out_cosine,q5,0.9585083957321903
pre_mlp,11,leave_one_question_out_cosine,q51,0.9397696609649481
pre_mlp,11,leave_one_question_out_cosine,q119,0.9622882381088015
pre_mlp,11,leave_one_question_out_cosine,q190,0.9794765708174255
pre_mlp,11,split_half_question_cosine,q0|q5|q119_vs_q2|q51|q190,0.4427535956027601
pre_mlp,12,leave_one_persona_out_cosine,anarchist,0.9615440202192308
pre_mlp,12,leave_one_persona_out_cosine,bartender,0.9871964275555584
pre_mlp,12,leave_one_persona_out_cosine,comedian,0.9772846073714095
pre_mlp,12,leave_one_persona_out_cosine,consultant,0.9967641719211193
pre_mlp,12,leave_one_persona_out_cosine,devils_advocate,0.9886712270282891
pre_mlp,12,leave_one_persona_out_cosine,engineer,0.9956459011100998
pre_mlp,12,leave_one_persona_out_cosine,genie,0.9940413087383371
pre_mlp,12,leave_one_persona_out_cosine,librarian,0.9936482071304069
pre_mlp,12,leave_one_persona_out_cosine,mediator,0.9861342852845534
pre_mlp,12,leave_one_persona_out_cosine,mystic,0.9867421160858011
pre_mlp,12,leave_one_persona_out_cosine,pirate,0.9918894561108872
pre_mlp,12,leave_one_persona_out_cosine,tutor,0.9986440236419509
pre_mlp,12,pairwise_question_cosine,q0_vs_q2,0.20422646324088628
pre_mlp,12,pairwise_question_cosine,q0_vs_q5,0.2686328413524535
pre_mlp,12,pairwise_question_cosine,q0_vs_q51,0.20840672048813882
pre_mlp,12,pairwise_question_cosine,q0_vs_q119,0.23191373318861175
pre_mlp,12,pairwise_question_cosine,q0_vs_q190,0.21361980008116332
pre_mlp,12,pairwise_question_cosine,q2_vs_q5,0.16876664150464035
pre_mlp,12,pairwise_question_cosine,q2_vs_q51,0.16338649343081857
pre_mlp,12,pairwise_question_cosine,q2_vs_q119,0.22233741987082878
pre_mlp,12,pairwise_question_cosine,q2_vs_q190,0.19834105385767684
pre_mlp,12,pairwise_question_cosine,q5_vs_q51,0.23721727076444488
pre_mlp,12,pairwise_question_cosine,q5_vs_q119,0.1713648444527221
pre_mlp,12,pairwise_question_cosine,q5_vs_q190,0.14946524956572305
pre_mlp,12,pairwise_question_cosine,q51_vs_q119,0.15861036776636825
pre_mlp,12,pairwise_question_cosine,q51_vs_q190,0.14303324103270265
pre_mlp,12,pairwise_question_cosine,q119_vs_q190,0.2700678808818437
pre_mlp,12,leave_one_question_out_cosine,q0,0.954811744556521
pre_mlp,12,leave_one_question_out_cosine,q2,0.9752897358582713
pre_mlp,12,leave_one_question_out_cosine,q5,0.9570010371085237
pre_mlp,12,leave_one_question_out_cosine,q51,0.94281967825193
pre_mlp,12,leave_one_question_out_cosine,q119,0.9626546424426746
pre_mlp,12,leave_one_question_out_cosine,q190,0.978257086564781
pre_mlp,12,split_half_question_cosine,q0|q5|q119_vs_q2|q51|q190,0.4320553886292835
pre_mlp,13,leave_one_persona_out_cosine,anarchist,0.9666263657203256
pre_mlp,13,leave_one_persona_out_cosine,bartender,0.9888917198949095
pre_mlp,13,leave_one_persona_out_cosine,comedian,0.9770109327004207
pre_mlp,13,leave_one_persona_out_cosine,consultant,0.9971287310630361
pre_mlp,13,leave_one_persona_out_cosine,devils_advocate,0.9892442080474962
pre_mlp,13,leave_one_persona_out_cosine,engineer,0.9961376016040614
pre_mlp,13,leave_one_persona_out_cosine,genie,0.9939453792288832
pre_mlp,13,leave_one_persona_out_cosine,librarian,0.994630514344061
pre_mlp,13,leave_one_persona_out_cosine,mediator,0.9871363282914346
pre_mlp,13,leave_one_persona_out_cosine,mystic,0.9876312470366301
pre_mlp,13,leave_one_persona_out_cosine,pirate,0.9912437387496854
pre_mlp,13,leave_one_persona_out_cosine,tutor,0.9986518994227174
pre_mlp,13,pairwise_question_cosine,q0_vs_q2,0.2743722380699491
pre_mlp,13,pairwise_question_cosine,q0_vs_q5,0.30271394170274085
pre_mlp,13,pairwise_question_cosine,q0_vs_q51,0.2356707724039002
pre_mlp,13,pairwise_question_cosine,q0_vs_q119,0.25773823458952627
pre_mlp,13,pairwise_question_cosine,q0_vs_q190,0.2581727712745354
pre_mlp,13,pairwise_question_cosine,q2_vs_q5,0.21975903596421356
pre_mlp,13,pairwise_question_cosine,q2_vs_q51,0.21186507223173306
pre_mlp,13,pairwise_question_cosine,q2_vs_q119,0.25098834041675466
pre_mlp,13,pairwise_question_cosine,q2_vs_q190,0.26095399471256786
pre_mlp,13,pairwise_question_cosine,q5_vs_q51,0.27818401788483466
pre_mlp,13,pairwise_question_cosine,q5_vs_q119,0.2086003136953024
pre_mlp,13,pairwise_question_cosine,q5_vs_q190,0.20309424866694017
pre_mlp,13,pairwise_question_cosine,q51_vs_q119,0.19840018689222283
pre_mlp,13,pairwise_question_cosine,q51_vs_q190,0.19640064916753738
pre_mlp,13,pairwise_question_cosine,q119_vs_q190,0.3110519366978779
pre_mlp,13,leave_one_question_out_cosine,q0,0.9607574866348548
pre_mlp,13,leave_one_question_out_cosine,q2,0.9783563420583443
pre_mlp,13,leave_one_question_out_cosine,q5,0.9645405412373632
pre_mlp,13,leave_one_question_out_cosine,q51,0.9495987498278665
pre_mlp,13,leave_one_question_out_cosine,q119,0.9679596196643756
pre_mlp,13,leave_one_question_out_cosine,q190,0.9805259600278672
pre_mlp,13,split_half_question_cosine,q0|q5|q119_vs_q2|q51|q190,0.49414581746304453
pre_mlp,14,leave_one_persona_out_cosine,anarchist,0.9716451650485916
pre_mlp,14,leave_one_persona_out_cosine,bartender,0.9906906309991549
pre_mlp,14,leave_one_persona_out_cosine,comedian,0.976954495213091
pre_mlp,14,leave_one_persona_out_cosine,consultant,0.997482025593906
pre_mlp,14,leave_one_persona_out_cosine,devils_advocate,0.9897620627260137
pre_mlp,14,leave_one_persona_out_cosine,engineer,0.9963248174696968
pre_mlp,14,leave_one_persona_out_cosine,genie,0.9944595849779162
pre_mlp,14,leave_one_persona_out_cosine,librarian,0.9952746935207677
pre_mlp,14,leave_one_persona_out_cosine,mediator,0.9888805038861701
pre_mlp,14,leave_one_persona_out_cosine,mystic,0.98867063134844
pre_mlp,14,leave_one_persona_out_cosine,pirate,0.9921823624402419
pre_mlp,14,leave_one_persona_out_cosine,tutor,0.9987375542585979
pre_mlp,14,pairwise_question_cosine,q0_vs_q2,0.3026863552103056
pre_mlp,14,pairwise_question_cosine,q0_vs_q5,0.35101092836608155
pre_mlp,14,pairwise_question_cosine,q0_vs_q51,0.2613661915391827
pre_mlp,14,pairwise_question_cosine,q0_vs_q119,0.3031678243877551
pre_mlp,14,pairwise_question_cosine,q0_vs_q190,0.2760574874249994
pre_mlp,14,pairwise_question_cosine,q2_vs_q5,0.2488997360105402
pre_mlp,14,pairwise_question_cosine,q2_vs_q51,0.22850514719761303
pre_mlp,14,pairwise_question_cosine,q2_vs_q119,0.26965106968798563
pre_mlp,14,pairwise_question_cosine,q2_vs_q190,0.27784530366241483
pre_mlp,14,pairwise_question_cosine,q5_vs_q51,0.28362727767453255
pre_mlp,14,pairwise_question_cosine,q5_vs_q119,0.23149599049749453
pre_mlp,14,pairwise_question_cosine,q5_vs_q190,0.21930586178280723
pre_mlp,14,pairwise_question_cosine,q51_vs_q119,0.21524168548149017
pre_mlp,14,pairwise_question_cosine,q51_vs_q190,0.2077855141120227
pre_mlp,14,pairwise_question_cosine,q119_vs_q190,0.320966103592435
pre_mlp,14,leave_one_question_out_cosine,q0,0.9637484475664708
pre_mlp,14,leave_one_question_out_cosine,q2,0.980394738761659
pre_mlp,14,leave_one_question_out_cosine,q5,0.9681938057997682
pre_mlp,14,leave_one_question_out_cosine,q51,0.9519932706641898
pre_mlp,14,leave_one_question_out_cosine,q119,0.9696380762316293
pre_mlp,14,leave_one_question_out_cosine,q190,0.9821385238920027
pre_mlp,14,split_half_question_cosine,q0|q5|q119_vs_q2|q51|q190,0.512501632111636
pre_mlp,15,leave_one_persona_out_cosine,anarchist,0.9759906737083813
pre_mlp,15,leave_one_persona_out_cosine,bartender,0.9923467900166193
pre_mlp,15,leave_one_persona_out_cosine,comedian,0.9780032783088185
pre_mlp,15,leave_one_persona_out_cosine,consultant,0.9978895774197674
pre_mlp,15,leave_one_persona_out_cosine,devils_advocate,0.9903490841594421
pre_mlp,15,leave_one_persona_out_cosine,engineer,0.9967707655985882
pre_mlp,15,leave_one_persona_out_cosine,genie,0.994965836317241
pre_mlp,15,leave_one_persona_out_cosine,librarian,0.9960262265156257
