layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,content,raw,16,0.7735159,0.7393035,0.81043553,199,neutral
8,none,content,raw,17,0.7906587,0.75537753,0.8191547,199,neutral
8,none,content,raw,18,0.76989335,0.73299944,0.8084963,199,neutral
8,none,content,raw,19,0.7751511,0.73374605,0.81382537,199,neutral
8,none,content,raw,20,0.7740331,0.73970973,0.80372435,199,neutral
8,none,content,raw,21,0.780729,0.7407967,0.80830455,199,neutral
8,none,content,raw,22,0.7967371,0.76050234,0.8281345,199,neutral
8,none,content,raw,23,0.7720193,0.7278982,0.8010771,199,neutral
8,none,content,raw,24,0.7910082,0.7600192,0.82268,199,neutral
8,none,content,raw,25,0.7974131,0.7632238,0.82315826,199,neutral
8,none,content,raw,26,0.7631875,0.72452265,0.79890794,199,neutral
8,none,content,raw,27,0.7702245,0.73096156,0.80225956,199,neutral
8,none,content,raw,28,0.76968294,0.7347108,0.8045548,199,neutral
8,none,content,raw,29,0.81183666,0.77689904,0.8390001,199,neutral
8,none,content,raw,30,0.78288645,0.74385667,0.8152613,199,neutral
8,none,content,raw,31,0.7914567,0.75529855,0.8243343,199,neutral
8,none,content,raw,32,0.7668888,0.73070794,0.7990579,199,neutral
8,none,content,raw,33,0.78592837,0.7489953,0.8156347,199,neutral
8,none,content,raw,34,0.7976361,0.7622121,0.83019876,199,neutral
8,none,content,raw,35,0.75769556,0.717913,0.7871002,199,neutral
8,none,content,raw,36,0.7668384,0.724977,0.79662496,199,neutral
8,none,content,raw,37,0.74007887,0.6974183,0.77108717,199,neutral
8,none,content,raw,38,0.7493033,0.69905615,0.7814189,198,neutral
8,none,content,raw,39,0.7657431,0.72270846,0.8006834,198,neutral
8,none,content,raw,40,0.7690967,0.7280068,0.8054968,198,neutral
8,none,content,raw,41,0.7656579,0.7229297,0.79714423,198,neutral
8,none,content,raw,42,0.7719254,0.73335737,0.8001174,198,neutral
8,none,content,raw,43,0.7716827,0.7331071,0.8057364,197,neutral
8,none,content,raw,44,0.7752015,0.73691034,0.806138,197,neutral
8,none,content,raw,45,0.7613477,0.71696305,0.7980868,196,neutral
8,none,content,raw,46,0.77087146,0.7365422,0.80235994,196,neutral
8,none,content,raw,47,0.7669364,0.72559565,0.7987036,195,neutral
8,none,content,raw,48,0.7925053,0.75911844,0.8185399,195,neutral
8,none,content,raw,49,0.77349126,0.73461646,0.79927266,195,neutral
8,none,content,raw,50,0.7945126,0.7573825,0.8231134,194,neutral
8,none,content,raw,51,0.7538047,0.7098921,0.7847007,194,neutral
8,none,content,raw,52,0.7517852,0.71616286,0.7802492,194,neutral
8,none,content,raw,53,0.74885905,0.7120344,0.785564,193,neutral
8,none,content,raw,54,0.7405381,0.69461244,0.7819933,193,neutral
8,none,content,raw,55,0.77463615,0.7370198,0.80410624,193,neutral
8,none,content,raw,56,0.73694277,0.69752234,0.7681751,193,neutral
8,none,content,raw,57,0.76796013,0.7284287,0.8000966,193,neutral
8,none,content,raw,58,0.76900494,0.7286401,0.80039185,193,neutral
8,none,content,raw,59,0.7481236,0.7115381,0.79005796,192,neutral
8,none,content,raw,60,0.76373166,0.7252721,0.7968423,192,neutral
8,none,content,raw,61,0.74869514,0.7089869,0.783625,192,neutral
8,none,content,raw,62,0.7742331,0.7380527,0.8021345,191,neutral
8,none,content,raw,63,0.78453606,0.7494085,0.8214681,191,neutral
8,none,content,raw,64,0.76873046,0.7292414,0.8007272,191,neutral
8,none,content,raw,65,0.7637015,0.72461563,0.79987746,191,neutral
8,none,content,raw,66,0.75595164,0.7183983,0.789979,191,neutral
8,none,content,raw,67,0.7807444,0.74756044,0.8141345,190,neutral
8,none,content,raw,68,0.74682665,0.7134217,0.7842372,189,neutral
8,none,content,raw,69,0.7720002,0.74187833,0.80690026,189,neutral
8,none,content,raw,70,0.75173706,0.7145134,0.78215325,189,neutral
8,none,content,raw,71,0.76996285,0.73231477,0.8063209,189,neutral
8,none,content,raw,72,0.75313807,0.71109825,0.7901687,189,neutral
8,none,content,raw,73,0.7552656,0.71884435,0.7901341,189,neutral
8,none,content,raw,74,0.74336046,0.7082953,0.7737169,189,neutral
8,none,content,raw,75,0.7470368,0.7072356,0.7780959,189,neutral
8,none,content,raw,76,0.76922446,0.7345609,0.8082697,189,neutral
8,none,content,raw,77,0.7519688,0.7165436,0.7858479,189,neutral
8,none,content,raw,78,0.74133885,0.7037501,0.7720723,189,neutral
